Timestamp,User,Raw Data (Hex),Processed Data,Status
2024-12-30 08:58:01.582,swimmer2910,,,Connection Initialized at 4800 baud
2024-12-30 08:58:04.135,swimmer2910,a85b29292929292929292929292929292909fdb86b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b0b6b6b6b6b35080808c2a808080808080808080808080808080808080808880808080842a86b6a6b6b6b6b4b6a4a6a6b1ba86a6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b1ba86b6a6b6b6b6b4b6a4a6a6b6a6b6b6b6b1ba86b6a6b6b6b6b4b6a4a6a6b6b6b6b1ba86b6a6b6b6b6b4b6a4a09a82109a808080808080808ac08080808080848ffa86b6a6b6b6b6b4b6a4a6a6b1ba86b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b1bfdb808080808080808080808080808080808080808080848fd200808080808080808080808080808080848ff288478080808080808080808080808080808082102a8fa0808080808080808e8080808080802a8fa0808080808080808e80808080802a8fa0808080808080808e80808080808480808a8080808080808080808080802a82108080808080808080808080808080802a8080808080808080808080802a87b080808080808080808e8080808080842b86b4a4a4a4a4a4a4a4a4a4a4a4a4a4aac4a4a4a4a4a4a4a4a4a4a3d5d6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6ba56b6b6b6b6ba8a86b6a6b6b6b6b4b6a4a6a6b1ba86a6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b1ba86b6a6b6b6b6b4b6a4a6a6b1ba8294a4a4a4a4a4aac4a4a4a4a4a4a4a4a02a86b6a6b6b6b6b4b6a4a6a6b1ba86b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b1bfdb84a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4afda84a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4affa80a,HEX: A8 5B 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 09 FD B8 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 0B 6B 6B 6B 6B 35 08 08 08 C2 A8 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 88 08 08 08 08 42 A8 6B 6A 6B 6B 6B 6B 4B 6A 4A 6A 6B 1B A8 6A 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 1B A8 6B 6A 6B 6B 6B 6B 4B 6A 4A 6A 6B 6A 6B 6B 6B 6B 1B A8 6B 6A 6B 6B 6B 6B 4B 6A 4A 6A 6B 6B 6B 6B 1B A8 6B 6A 6B 6B 6B 6B 4B 6A 4A 09 A8 21 09 A8 08 08 08 08 08 08 08 AC 08 08 08 08 08 08 48 FF A8 6B 6A 6B 6B 6B 6B 4B 6A 4A 6A 6B 1B A8 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 1B FD B8 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 48 FD 20 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 48 FF 28 84 78 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 21 02 A8 FA 08 08 08 08 08 08 08 08 E8 08 08 08 08 08 02 A8 FA 08 08 08 08 08 08 08 08 E8 08 08 08 08 02 A8 FA 08 08 08 08 08 08 08 08 E8 08 08 08 08 08 48 08 08 A8 08 08 08 08 08 08 08 08 08 08 08 02 A8 21 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 02 A8 08 08 08 08 08 08 08 08 08 08 08 02 A8 7B 08 08 08 08 08 08 08 08 08 E8 08 08 08 08 08 42 B8 6B 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A AC 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 3D 5D 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B A5 6B 6B 6B 6B 6B A8 A8 6B 6A 6B 6B 6B 6B 4B 6A 4A 6A 6B 1B A8 6A 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 1B A8 6B 6A 6B 6B 6B 6B 4B 6A 4A 6A 6B 1B A8 29 4A 4A 4A 4A 4A 4A AC 4A 4A 4A 4A 4A 4A 4A 4A 02 A8 6B 6A 6B 6B 6B 6B 4B 6A 4A 6A 6B 1B A8 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 1B FD B8 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A FD A8 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A FF A8 0A,Data Received
2024-12-30 08:58:04.137,swimmer2910,,HEX: A8 5B 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 09 FD B8 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 0B 6B 6B 6B 6B 35 08 08 08 C2 A8 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 88 08 08 08 08 42 A8 6B 6A 6B 6B 6B 6B 4B 6A 4A 6A 6B 1B A8 6A 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 1B A8 6B 6A 6B 6B 6B 6B 4B 6A 4A 6A 6B 6A 6B 6B 6B 6B 1B A8 6B 6A 6B 6B 6B 6B 4B 6A 4A 6A 6B 6B 6B 6B 1B A8 6B 6A 6B 6B 6B 6B 4B 6A 4A 09 A8 21 09 A8 08 08 08 08 08 08 08 AC 08 08 08 08 08 08 48 FF A8 6B 6A 6B 6B 6B 6B 4B 6A 4A 6A 6B 1B A8 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 1B FD B8 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 48 FD 20 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 48 FF 28 84 78 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 21 02 A8 FA 08 08 08 08 08 08 08 08 E8 08 08 08 08 08 02 A8 FA 08 08 08 08 08 08 08 08 E8 08 08 08 08 02 A8 FA 08 08 08 08 08 08 08 08 E8 08 08 08 08 08 48 08 08 A8 08 08 08 08 08 08 08 08 08 08 08 02 A8 21 08 08 08 08 08 08 08 08 08 08 08 08 08 08 08 02 A8 08 08 08 08 08 08 08 08 08 08 08 02 A8 7B 08 08 08 08 08 08 08 08 08 E8 08 08 08 08 08 42 B8 6B 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A AC 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 3D 5D 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B A5 6B 6B 6B 6B 6B A8 A8 6B 6A 6B 6B 6B 6B 4B 6A 4A 6A 6B 1B A8 6A 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 1B A8 6B 6A 6B 6B 6B 6B 4B 6A 4A 6A 6B 1B A8 29 4A 4A 4A 4A 4A 4A AC 4A 4A 4A 4A 4A 4A 4A 4A 02 A8 6B 6A 6B 6B 6B 6B 4B 6A 4A 6A 6B 1B A8 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 6B 1B FD B8 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A FD A8 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A FF A8 0A,Sent to Video Wall
2024-12-30 08:58:04.237,swimmer2910,4a4a4a4a4a4a4a0a,HEX: 4A 4A 4A 4A 4A 4A 4A 0A,Data Received
2024-12-30 08:58:04.238,swimmer2910,,HEX: 4A 4A 4A 4A 4A 4A 4A 0A,Sent to Video Wall
2024-12-30 08:58:04.339,swimmer2910,4a4a42a8fa4a4a4a4a4a4a4aca4a4a4a4a4a4a4a4aa80a,HEX: 4A 4A 42 A8 FA 4A 4A 4A 4A 4A 4A 4A CA 4A 4A 4A 4A 4A 4A 4A 4A A8 0A,Data Received
2024-12-30 08:58:04.340,swimmer2910,,HEX: 4A 4A 42 A8 FA 4A 4A 4A 4A 4A 4A 4A CA 4A 4A 4A 4A 4A 4A 4A 4A A8 0A,Sent to Video Wall
2024-12-30 08:58:04.441,swimmer2910,4a4a4a4a4a4a4a0a,HEX: 4A 4A 4A 4A 4A 4A 4A 0A,Data Received
2024-12-30 08:58:04.442,swimmer2910,,HEX: 4A 4A 4A 4A 4A 4A 4A 0A,Sent to Video Wall
2024-12-30 08:58:04.543,swimmer2910,4a4a42a8294a4a4a4a4a4a4a4a4a4a4a4a4a4a4a02a80a,HEX: 4A 4A 42 A8 29 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 4A 02 A8 0A,Data Received
